,CVE_DOC,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA,COSTO_TOTAL_CALCULADO,MARGEN_UNITARIO_CALCULADO
989,F38977,732.0,260.2,260.2,2196.0,780.6,471.8
990,F38984,745.0,0.0,240.58,8940.0,2887.02,504.42
991,F38984,864.2,0.0,226.8,8642.0,2268.0,637.4
992,F38986,999.91,226.23,226.23,1999.81,452.46,773.68
993,F38995,1800.0,108.0,693.77,1800.0,693.77,1106.23
994,F38996,2068.5,108.0,219.9,2068.5,1261.99,806.51
995,F38996,942.7,0.0,219.9,3213.0,1165.13,2047.87
996,F38997,2464.2,0.0,219.9,9856.8,625.1,1396.21
997,F38998,810.0,313.65,313.65,2576.7,625.1,496.35
998,F38999,1075.31,0.0,521.55,1075.31,521.55,553.76
999,F39004,753.5,0.0,127.11,6028.0,1016.9,626.39
1000,F39005,497.89,42.8,42.8,497.89,42.8,455.09
1001,F39006,2400.0,0.0,679.75,7200.0,2039.25,1720.25
1002,F39007,647.0,100.13,100.13,1294.0,200.26,546.87
1003,F39007,647.0,108.0,219.9,1294.0,1789.82,-247.91
1004,F39008,562.5,0.0,102.31,1125.0,204.63,460.19
1005,F39009,813.1,260.2,260.2,1626.21,520.4,552.9
1006,F39010,764.39,137.83,137.83,6879.51,1240.49,626.56
1007,F39010,941.77,203.69,203.69,941.77,203.69,738.08
1008,F39010,669.35,126.54,126.54,669.35,126.54,542.81
1009,F39013,863.0,68.35,68.35,1726.0,136.7,794.65
1010,F39014,1045.31,388.11,388.11,1045.31,388.11,657.2
1011,F39016,901.5,68.35,68.35,1803.0,136.7,833.15
1012,F39017,1064.0,330.66,330.66,3192.0,991.99,733.34
1013,F39018,1475.3,331.61,331.61,2576.7,625.1,1143.69
1014,F39018,942.7,108.0,219.9,3730.0,1388.82,684.8
1015,F39020,485.0,144.4,144.4,485.0,144.4,340.6
1016,F39024,2278.45,0.0,436.59,4556.9,873.18,1841.86
1017,F39026,817.89,0.0,176.15,817.89,176.15,641.74
1018,F39028,385.0,253.0,253.0,385.0,253.0,132.0
1019,F39029,386.0,77.13,77.13,3860.0,771.29,308.87
1020,F39032,1784.35,0.0,112.39,5353.05,337.18,1671.96
1021,F39033,657.58,107.5,107.5,2630.32,429.99,550.08
1022,F39034,779.5,158.36,158.36,3118.0,633.45,621.14
1023,F39036,435.72,265.64,265.64,871.44,531.27,170.08
1024,F39036,350.41,125.68,125.68,700.82,251.36,224.73
1025,F39040,327.59,57.6,57.6,327.59,57.6,269.99
1026,F39046,1250.0,0.0,170.16,2576.7,1701.62,1079.84
1027,F39051,462.0,253.0,253.0,462.0,253.0,209.0
1028,F39053,596.0,0.0,28.41,596.0,28.41,567.59
1029,F39054,699.5,286.59,286.59,6995.0,2865.87,412.91
1030,F39055,799.1,168.4,168.4,2397.3,505.21,630.7
1031,F39061,150.0,78.65,78.65,2100.0,1101.12,71.35
1032,F39061,500.0,265.64,265.64,3000.0,1593.82,234.36
1033,F39063,960.34,91.4,91.4,960.34,91.4,868.94
1034,F39065,772.0,0.0,13.33,772.0,13.33,758.67
1035,F39065,942.7,0.0,219.9,4972.3,1139.58,684.8
1036,F39065,1385.0,0.0,281.46,1385.0,281.46,1103.54
1037,F39066,1848.9,406.12,406.12,1848.9,406.12,1442.78
1038,F39067,1209.8,0.0,341.41,2419.6,682.82,868.39
1039,F39070,345.0,0.0,348.92,690.0,697.83,-3.92
1040,F39072,528.89,0.0,68.25,1057.78,136.5,460.64
1041,F39073,999.91,226.23,226.23,999.91,226.23,773.68
1042,F39074,999.91,226.23,226.23,999.91,226.23,773.68
1043,F39076,2186.0,108.0,219.9,4372.0,1911.36,1230.32
1044,F39078,264.0,97.49,97.49,264.0,97.49,166.51
1045,F39082,2660.9,0.0,219.9,2660.9,896.15,1764.75
1046,F39088,942.7,0.0,219.9,2576.7,625.1,684.8
1047,F39089,155.0,78.65,78.65,155.0,78.65,76.35
1048,F39090,899.0,0.0,197.53,899.0,197.53,701.47
1049,F39090,556.7,0.0,72.88,556.7,72.88,483.82
1050,F39096,1103.45,0.0,400.95,1103.45,400.95,702.5
1051,F39097,930.0,0.0,159.65,930.0,159.65,770.35
1052,F39105,845.29,0.0,369.66,2535.87,1108.97,475.63
1053,F39114,2465.0,0.0,585.2,4930.0,1170.39,1879.8
1054,F39114,705.5,130.97,130.97,2116.5,392.91,574.53
1055,F39114,705.5,0.0,143.89,4233.0,863.31,561.61
1056,F39115,918.0,0.0,502.32,5508.0,625.1,415.68
1057,F39116,915.0,0.0,239.08,915.0,239.08,675.92
1058,F39117,715.65,0.0,103.21,2146.95,309.63,612.44
1059,F39120,515.0,0.0,182.6,2060.0,730.4,332.4
1060,F39120,2375.5,438.39,438.39,4751.0,876.79,1937.11
1061,F39120,2080.85,523.53,523.53,2080.85,523.53,1557.32
1062,F39120,1899.18,164.55,164.55,1899.18,164.55,1734.63
1063,F39121,942.7,108.0,219.9,3298.28,625.1,684.8
1064,F39124,150.0,78.65,78.65,150.0,78.65,71.35
1065,F39125,442.75,253.0,253.0,442.75,253.0,189.75
1066,F39128,462.0,220.0,220.0,462.0,220.0,242.0
1067,F39130,1165.95,345.97,345.97,1165.95,345.97,819.98
1068,F39131,1165.95,0.0,345.97,1165.95,345.97,819.98
1069,F39133,763.0,0.0,71.72,3052.0,286.9,691.28
1070,F39133,845.0,0.0,167.31,3380.0,669.24,677.69
1071,F39134,1615.0,108.0,685.68,1615.0,685.68,929.32
1072,F39135,1615.0,108.0,685.68,1615.0,685.68,929.32
1073,F39136,1615.0,108.0,685.68,1615.0,685.68,929.32
1074,F39137,1615.0,108.0,685.68,1615.0,685.68,929.32
1075,F39138,485.0,144.4,144.4,970.0,288.8,340.6
1076,F39139,942.7,108.0,219.9,2576.7,625.1,684.8
1077,F39139,942.7,108.0,219.9,2576.7,625.1,684.8
1078,F39142,125.0,48.2,48.2,500.0,192.79,76.8
1079,F39144,132.06,0.0,21.33,1056.48,170.62,110.73
1080,F39146,1853.25,108.0,219.9,3706.5,2233.68,736.41
1081,F39146,852.53,0.0,55.13,1705.06,110.26,797.4
1082,F39146,1790.5,155.35,155.35,3581.0,310.7,1635.15
1083,F39146,1900.0,253.99,253.99,3800.0,507.97,1646.01
1084,F39146,1280.14,0.0,477.16,1280.14,477.16,802.98
1085,F39147,978.6,0.0,518.59,9786.0,625.1,460.01
1086,F39147,732.0,0.0,136.25,3660.0,681.25,595.75
1087,F39150,1800.0,0.0,312.11,5400.0,936.33,1487.89
1088,F39151,1086.23,0.0,274.93,3258.69,824.78,811.3
1089,F39152,699.38,0.0,207.16,2098.14,621.48,492.22
